TotalCharges,TotalCharges,tenure,Churn
4874.7,4874.7,55,Yes
2348.45,2348.45,42,No
4063,4063,44,No
44,44,1,No
2595.25,2595.25,27,No
2309.55,2309.55,27,No
89.3,89.3,2,No
367.55,367.55,19,No
3944.5,3944.5,42,No
5965.95,5965.95,66,No
3694.7,3694.7,33,No
2524.45,2524.45,34,Yes
1803.7,1803.7,33,No
415.1,415.1,23,No
624.15,624.15,32,No
237.7,237.7,11,No
7007.6,7007.6,69,Yes
3848.8,3848.8,68,No
419.4,419.4,20,No
1468.75,1468.75,72,No
5812,5812,60,No
2861.45,2861.45,32,No
19.9,19.9,1,Yes
19.6,19.6,1,Yes
233.7,233.7,3,Yes
1066.15,1066.15,46,No
2149.05,2149.05,29,No
4473,4473,51,No
3545.05,3545.05,48,No
1195.75,1195.75,16,No
6858.9,6858.9,70,No
1024.7,1024.7,40,No
1845.9,1845.9,22,Yes
75.3,75.3,1,Yes
132.25,132.25,5,No
515.45,515.45,7,No
2830.45,2830.45,29,No
1110.5,1110.5,44,No
449.3,449.3,10,No
2838.55,2838.55,55,No
5376.4,5376.4,52,No
858.6,858.6,10,No
1395.05,1395.05,18,No
3975.7,3975.7,68,No
1182.55,1182.55,61,Yes
4784.45,4784.45,72,No
119.5,119.5,2,No
518.9,518.9,12,Yes
899.45,899.45,41,No
1183.8,1183.8,26,No
720.05,720.05,36,No
8468.2,8468.2,72,No
3161.2,3161.2,35,No
55.05,55.05,1,No
1882.55,1882.55,16,No
5070.4,5070.4,49,No
6049.5,6049.5,54,No
1166.7,1166.7,18,No
2937.65,2937.65,36,No
6396.45,6396.45,60,Yes
69.55,69.55,1,Yes
1270.25,1270.25,52,No
759.55,759.55,8,No
7611.55,7611.55,72,No
1642.75,1642.75,64,No
1545.4,1545.4,22,No
3582.4,3582.4,60,No
2227.1,2227.1,28,Yes
1417.9,1417.9,61,No
2494.65,2494.65,24,No
2768.35,2768.35,28,No
2369.3,2369.3,30,No
38,38,2,No
75.1,75.1,1,No
100.9,100.9,6,No
1614.05,1614.05,24,No
385.9,385.9,4,Yes
673.25,673.25,7,Yes
8404.9,8404.9,72,No
2799.75,2799.75,70,No
6538.45,6538.45,64,No
6588.95,6588.95,72,No
868.1,868.1,44,No
734.35,734.35,13,Yes
330.6,330.6,17,No
55,55,1,Yes
564.4,564.4,9,No
1315.35,1315.35,24,No
74.7,74.7,1,Yes
1861.5,1861.5,24,Yes
2747.2,2747.2,35,No
554.05,554.05,7,No
453.4,453.4,5,Yes
994.8,994.8,15,Yes
225.75,225.75,11,No
2145,2145,48,Yes
1671.6,1671.6,20,No
8003.8,8003.8,72,No
680.05,680.05,8,Yes
6130.85,6130.85,72,No
1415,1415,15,No
6201.95,6201.95,72,No
74.35,74.35,1,Yes
6597.25,6597.25,63,No
114.15,114.15,2,No
139.4,139.4,2,Yes
3902.6,3902.6,61,No
20.4,20.4,1,No
903.6,903.6,22,Yes
1785.65,1785.65,28,No
1397.65,1397.65,70,No
131.05,131.05,5,Yes
1238.45,1238.45,12,Yes
3899.05,3899.05,34,No
5676,5676,71,No
4543.15,4543.15,70,No
4326.8,4326.8,52,No
5502.55,5502.55,69,No
1782.4,1782.4,20,Yes
851.8,851.8,11,No
167.5,167.5,2,Yes
502.85,502.85,6,Yes
19.85,19.85,1,No
1818.3,1818.3,20,No
6300.15,6300.15,61,No
334.8,334.8,5,Yes
5916.95,5916.95,56,No
2852.4,2852.4,30,No
4131.95,4131.95,40,Yes
1546.3,1546.3,28,No
302.6,302.6,5,No
1929.35,1929.35,27,Yes
265.45,265.45,12,No
6989.45,6989.45,67,No
1442,1442,29,No
4713.4,4713.4,55,No
1758.6,1758.6,23,Yes
3480,3480,34,Yes
4738.3,4738.3,52,No
8399.15,8399.15,72,No
5430.35,5430.35,58,No
686.95,686.95,35,No
5706.3,5706.3,56,No
490.65,490.65,24,No
1360.25,1360.25,70,No
174.45,174.45,2,No
7379.8,7379.8,68,No
85,85,1,Yes
1021.75,1021.75,12,No
5029.05,5029.05,63,No
1955.4,1955.4,33,No
6744.2,6744.2,69,No
4946.7,4946.7,60,No
8248.5,8248.5,72,No
601.6,601.6,11,No
19.55,19.55,1,No
834.1,834.1,10,Yes
597,597,13,Yes
2647.2,2647.2,34,No
3266,3266,39,Yes
6744.25,6744.25,65,No
5265.5,5265.5,50,No
311.6,311.6,15,No
7966.9,7966.9,72,No
8220.4,8220.4,72,No
1153.25,1153.25,55,No
514.75,514.75,23,No
2596.15,2596.15,32,Yes
3808,3808,56,No
19.9,19.9,1,No
2708.2,2708.2,38,No
760.05,760.05,11,No
49.3,49.3,1,No
6033.3,6033.3,56,No
89.05,89.05,3,No
516.15,516.15,7,No
5861.75,5861.75,59,No
445.95,445.95,7,No
4973.4,4973.4,71,No
1667.25,1667.25,15,No
5357.75,5357.75,71,No
3527.6,3527.6,35,Yes
422.6,422.6,11,No
1103.25,1103.25,60,No
2754,2754,47,No
697.25,697.25,11,No
5614.45,5614.45,56,Yes
3204.4,3204.4,28,No
4747.65,4747.65,61,No
3082.1,3082.1,31,No
597.9,597.9,9,No
3365.4,3365.4,35,No
38.8,38.8,2,No
233.55,233.55,12,Yes
75.3,75.3,1,Yes
346.2,346.2,4,Yes
19,19,1,No
61.7,61.7,3,No
85.7,85.7,1,Yes
3342.45,3342.45,52,No
85.1,85.1,5,No
7422.1,7422.1,72,No
6668.05,6668.05,71,No
8071.05,8071.05,72,No
1174.8,1174.8,46,No
5435,5435,63,No
2438.6,2438.6,30,No
45.6,45.6,1,No
713.75,713.75,12,Yes
916.15,916.15,16,No
237.2,237.2,4,No
4614.55,4614.55,51,No
1414.45,1414.45,65,No
1170.5,1170.5,16,No
47.7,47.7,2,No
4859.25,4859.25,66,No
4903.2,4903.2,46,No
3608,3608,32,No
6094.25,6094.25,72,No
3084.9,3084.9,38,No
2356.75,2356.75,51,No
8306.05,8306.05,72,No
6786.4,6786.4,65,Yes
248.95,248.95,9,Yes
663.05,663.05,9,Yes
1357.1,1357.1,66,No
4860.35,4860.35,44,No
3418.2,3418.2,50,No
631.4,631.4,15,No
186.3,186.3,8,No
6976.75,6976.75,66,No
4884.85,4884.85,57,No
522.95,522.95,7,No
362.6,362.6,10,No
5755.8,5755.8,62,No
3355.65,3355.65,40,No
406.95,406.95,20,No
137.6,137.6,7,Yes
2395.7,2395.7,25,No
1968.1,1968.1,23,No
6819.45,6819.45,66,No
7943.45,7943.45,72,No
4547.25,4547.25,49,Yes
4687.9,4687.9,43,Yes
2473.95,2473.95,46,No
6562.9,6562.9,72,No
176.3,176.3,10,No
2236.2,2236.2,40,No
6985.65,6985.65,65,Yes
3109.9,3109.9,31,No
4911.35,4911.35,68,No
5794.65,5794.65,56,Yes
855.3,855.3,10,Yes
1620.2,1620.2,68,No
2499.3,2499.3,43,Yes
89.55,89.55,1,Yes
4287.2,4287.2,49,No
394.85,394.85,15,No
1899.65,1899.65,20,Yes
45.7,45.7,1,Yes
3442.15,3442.15,50,No
161.5,161.5,2,Yes
1732.6,1732.6,24,No
222.3,222.3,3,Yes
74.6,74.6,1,Yes
655.3,655.3,35,No
475.25,475.25,17,No
164.3,164.3,8,Yes
865.1,865.1,10,No
6132.7,6132.7,68,No
3597.5,3597.5,45,No
35.9,35.9,2,Yes
697.65,697.65,37,No
96.05,96.05,4,Yes
428.7,428.7,10,No
20.05,20.05,1,No
4459.15,4459.15,65,No
1167.6,1167.6,57,No
238.1,238.1,3,No
145.15,145.15,2,Yes
1453.1,1453.1,49,No
191.05,191.05,4,Yes
4039.3,4039.3,70,No
1039.45,1039.45,53,No
1336.1,1336.1,53,No
75.05,75.05,1,Yes
493.4,493.4,22,No
2550.9,2550.9,52,Yes
7246.15,7246.15,65,No
1203.95,1203.95,48,No
62.25,62.25,2,Yes
313.6,313.6,3,No
3775.85,3775.85,45,No
80,80,1,Yes
4616.05,4616.05,61,No
195.65,195.65,3,No
4188.4,4188.4,40,No
71.1,71.1,1,No
49.9,49.9,1,No
1266.4,1266.4,51,No
91.1,91.1,2,Yes
1623.4,1623.4,52,No
4149.45,4149.45,51,No
20.45,20.45,1,No
2344.5,2344.5,31,No
1013.05,1013.05,47,No
270.7,270.7,3,Yes
417,417,22,No
20.65,20.65,1,No
6316.2,6316.2,72,No
168.15,168.15,3,Yes
4018.05,4018.05,47,No
4811.6,4811.6,72,No
4189.7,4189.7,66,No
2848.45,2848.45,35,No
2516.2,2516.2,29,No
33.6,33.6,2,No
208.45,208.45,4,No
2015.35,2015.35,25,Yes
3739.8,3739.8,65,No
2964,2964,27,No
2263.4,2263.4,29,No
2211.8,2211.8,29,No
19.55,19.55,1,Yes
1683.7,1683.7,20,No
1519,1519,58,No
1164.05,1164.05,14,No
1710.9,1710.9,72,No
4245.55,4245.55,46,No
4145.9,4145.9,71,No
2664.3,2664.3,32,No
1277.5,1277.5,26,No
5589.3,5589.3,68,No
34.75,34.75,2,No
1305.95,1305.95,61,No
381.3,381.3,4,Yes
141.5,141.5,3,Yes
3105.55,3105.55,33,Yes
204.55,204.55,9,No
605.9,605.9,22,No
356.1,356.1,5,No
2758.15,2758.15,30,Yes
4805.65,4805.65,65,No
3941.7,3941.7,45,Yes
92.75,92.75,5,No
1901.05,1901.05,25,No
5730.7,5730.7,72,No
2423.4,2423.4,27,No
1653.45,1653.45,32,No
3327.05,3327.05,30,No
7085.5,7085.5,70,No
3344.1,3344.1,42,No
6697.35,6697.35,72,No
2879.9,2879.9,47,No
137.1,137.1,2,No
1008.55,1008.55,10,Yes
1551.6,1551.6,61,No
202.15,202.15,5,No
7882.25,7882.25,72,No
8196.4,8196.4,72,No
202.9,202.9,3,No
855.1,855.1,48,No
5817,5817,63,No
1652.95,1652.95,27,No
5600.15,5600.15,70,No
515.75,515.75,7,No
190.5,190.5,2,No
1842.8,1842.8,20,Yes
1253.8,1253.8,66,No
57.2,57.2,3,No
1269.55,1269.55,15,Yes
6563.4,6563.4,72,No
20.8,20.8,1,No
1907.85,1907.85,22,Yes
208.85,208.85,3,Yes
4758.8,4758.8,72,No
1292.6,1292.6,65,No
363.15,363.15,11,No
1600.25,1600.25,22,No
275.7,275.7,14,No
3089.1,3089.1,41,No
1175.6,1175.6,17,No
237.3,237.3,11,No
1444.65,1444.65,15,Yes
19.9,19.9,1,Yes
454.15,454.15,5,Yes
3036.75,3036.75,33,Yes
8065.65,8065.65,72,No
92.5,92.5,3,No
184.65,184.65,2,Yes
6152.3,6152.3,59,No
89.5,89.5,2,Yes
5154.5,5154.5,71,No
220.45,220.45,5,No
1510.3,1510.3,27,No
52.2,52.2,1,Yes
2588.95,2588.95,63,No
4874.8,4874.8,46,Yes
3983.6,3983.6,72,No
2003.6,2003.6,34,No
1832.4,1832.4,24,No
4908.25,4908.25,72,No
3590.2,3590.2,60,No
5023,5023,68,No
146.6,146.6,8,No
2339.3,2339.3,34,No
298.7,298.7,6,No
143.65,143.65,2,No
2548.65,2548.65,31,No
507.4,507.4,20,No
20,20,1,No
6125.4,6125.4,62,Yes
5411.4,5411.4,70,No
1058.25,1058.25,10,Yes
903.8,903.8,39,No
3009.5,3009.5,46,No
489.45,489.45,6,Yes
5468.45,5468.45,72,No
1058.1,1058.1,18,No
7616,7616,71,No
4113.1,4113.1,40,Yes
69.55,69.55,1,Yes
6017.65,6017.65,58,Yes
7250.15,7250.15,70,Yes
1108.2,1108.2,42,No
938.65,938.65,34,No
94.15,94.15,5,No
2088.05,2088.05,25,No
178.7,178.7,2,Yes
5656.75,5656.75,55,No
2317.1,2317.1,21,Yes
5986.45,5986.45,70,No
6751.35,6751.35,61,No
3566.6,3566.6,43,No
4889.3,4889.3,47,No
318.1,318.1,5,No
1563.95,1563.95,62,No
1430.25,1430.25,16,Yes
644.35,644.35,7,Yes
372.45,372.45,14,No
5453.4,5453.4,60,Yes
1442.6,1442.6,34,No
5610.7,5610.7,50,Yes
963.95,963.95,38,No
5222.3,5222.3,70,No
3340.55,3340.55,37,No
292.8,292.8,4,Yes
5774.55,5774.55,60,No
4487.3,4487.3,62,No
44.4,44.4,1,Yes
2854.95,2854.95,36,No
905.55,905.55,44,No
5509.3,5509.3,55,Yes
7589.8,7589.8,72,No
229.6,229.6,12,Yes
394.1,394.1,13,No
89.9,89.9,1,Yes
295.95,295.95,15,No
5459.2,5459.2,65,No
444.75,444.75,12,No
6782.15,6782.15,72,No
6510.45,6510.45,72,No
8476.5,8476.5,72,No
4461.85,4461.85,52,No
62,62,2,No
352.65,352.65,5,No
1424.9,1424.9,68,No
6413.65,6413.65,62,Yes
6309.65,6309.65,72,No
50.8,50.8,1,Yes
5898.6,5898.6,66,No
4719.75,4719.75,72,No
457.3,457.3,26,No
5822.3,5822.3,64,No
1463.5,1463.5,20,Yes
307.4,307.4,3,Yes
2104.55,2104.55,22,Yes
319.15,319.15,4,Yes
2337.45,2337.45,62,No
104.3,104.3,5,No
5084.65,5084.65,59,Yes
121.25,121.25,3,No
7015.9,7015.9,72,No
5598,5598,57,No
1269.1,1269.1,66,No
3027.4,3027.4,60,Yes
4634.35,4634.35,45,No
113.95,113.95,3,No
1582.75,1582.75,15,Yes
3077,3077,51,No
4039.5,4039.5,60,No
1665.2,1665.2,33,No
1043.3,1043.3,10,Yes
504.2,504.2,26,No
497.55,497.55,6,Yes
7511.65,7511.65,67,No
1782,1782,49,No
20.05,20.05,1,No
609.65,609.65,7,No
2857.6,2857.6,27,No
3247.55,3247.55,37,No
6215.35,6215.35,63,Yes
2823,2823,31,No
5017.9,5017.9,50,Yes
2619.25,2619.25,32,No
24.6,24.6,1,Yes
4965.1,4965.1,63,No
2679.7,2679.7,30,No
8310.55,8310.55,71,No
5682.25,5682.25,53,No
1120.95,1120.95,12,Yes
4914.9,4914.9,50,No
27.55,27.55,2,No
923.5,923.5,9,Yes
1625.65,1625.65,17,Yes
6068.65,6068.65,56,No
5398.6,5398.6,67,No
918.6,918.6,9,Yes
234.85,234.85,4,No
1231.85,1231.85,19,No
170.9,170.9,8,No
7984.15,7984.15,71,No
688.65,688.65,10,Yes
1288.3,1288.3,15,No
7848.5,7848.5,72,No
267,267,12,No
1798.9,1798.9,72,No
73.55,73.55,1,Yes
1643.55,1643.55,23,No
4807.45,4807.45,72,No
2193,2193,26,No
2239.4,2239.4,21,No
1505.9,1505.9,60,No
255.35,255.35,12,No
1189.4,1189.4,16,No
4786.15,4786.15,63,No
1820.9,1820.9,22,No
2404.15,2404.15,32,No
205.05,205.05,3,Yes
952.3,952.3,13,Yes
7039.45,7039.45,68,No
2538.05,2538.05,30,No
1212.85,1212.85,16,No
2651.1,2651.1,33,No
1304.8,1304.8,72,No
360.1,360.1,4,Yes
435.45,435.45,12,No
308.05,308.05,4,No
434.5,434.5,6,Yes
7118.9,7118.9,65,No
320.45,320.45,15,No
531.55,531.55,24,No
382.2,382.2,13,No
2001,2001,24,No
4919.7,4919.7,72,No
5645.8,5645.8,54,No
215.8,215.8,3,Yes
77.6,77.6,4,No
2896.55,2896.55,32,No
3395.8,3395.8,35,Yes
759.35,759.35,35,No
85.15,85.15,2,Yes
535.55,535.55,8,No
1253.15,1253.15,22,No
955.15,955.15,15,No
2162.6,2162.6,22,No
44.7,44.7,1,Yes
1813.35,1813.35,71,No
245.15,245.15,4,No
2028.8,2028.8,25,No
2723.75,2723.75,32,No
220.45,220.45,7,No
365.8,365.8,17,No
551.95,551.95,8,No
4054.2,4054.2,56,No
45.7,45.7,1,Yes
832.35,832.35,8,Yes
112.3,112.3,7,Yes
60.65,60.65,3,No
5550.1,5550.1,71,No
174.8,174.8,2,Yes
90.55,90.55,1,Yes
4733.1,4733.1,49,No
4048.95,4048.95,58,No
1359.7,1359.7,44,Yes
4542.35,4542.35,59,No
7532.15,7532.15,71,Yes
69.9,69.9,1,Yes
888.65,888.65,11,No
6383.35,6383.35,62,Yes
1916,1916,35,No
413,413,20,No
808.95,808.95,40,No
1886.4,1886.4,39,No
86.6,86.6,1,Yes
1679.25,1679.25,72,No
2656.5,2656.5,33,Yes
540.95,540.95,12,No
19.75,19.75,1,No
537.35,537.35,27,No
678.8,678.8,34,No
4513.65,4513.65,56,No
1423.85,1423.85,58,No
555.4,555.4,22,No
225.55,225.55,10,No
268.45,268.45,13,No
2917.5,2917.5,35,Yes
2416.1,2416.1,34,Yes
424.45,424.45,4,Yes
1492.1,1492.1,72,No
132.4,132.4,2,No
660.9,660.9,7,Yes
1893.95,1893.95,27,Yes
284.9,284.9,4,No
784.25,784.25,37,No
417.7,417.7,21,No
5016.25,5016.25,53,No
1612.75,1612.75,18,Yes
119.75,119.75,2,Yes
3204.65,3204.65,32,Yes
485.2,485.2,23,No
160.85,160.85,3,No
4145.25,4145.25,71,No
827.45,827.45,9,No
49.5,49.5,1,No
990.85,990.85,18,Yes
696.35,696.35,12,Yes
5585.4,5585.4,71,No
1601.2,1601.2,64,No
162.45,162.45,4,No
470.2,470.2,23,No
2066,2066,39,No
1426.45,1426.45,28,No
392.5,392.5,5,No
3861.45,3861.45,45,No
2552.9,2552.9,37,No
6668.35,6668.35,60,No
819.4,819.4,8,Yes
4615.25,4615.25,47,No
2070.6,2070.6,26,Yes
273.75,273.75,3,Yes
3557.7,3557.7,50,No
1957.1,1957.1,27,No
729.95,729.95,8,Yes
1416.75,1416.75,62,No
5924.4,5924.4,71,No
1697.7,1697.7,66,No
